Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0805_2012Metric",0.375000,-1.400000,270.000000,bottom
"C6","0.1uF","C_0805_2012Metric",1.525000,-1.800000,270.000000,bottom
"C7","1.0nF","C_0805_2012Metric",2.225000,-1.000000,0.000000,bottom
"C8","1.0nF","C_0805_2012Metric",2.225000,-0.800000,0.000000,bottom
"C9","1.0nF","C_0805_2012Metric",2.225000,-0.600000,0.000000,bottom
"C10","1.0nF","C_0805_2012Metric",2.225000,-0.400000,0.000000,bottom
"C11","0.1uF","C_0805_2012Metric",2.025000,-2.185000,90.000000,bottom
"C13","0.1uF","C_0805_2012Metric",1.525000,-2.312598,90.000000,bottom
"C15","0.1uF","C_0805_2012Metric",1.525000,-2.050000,270.000000,bottom
"C16","0.1uF","C_0805_2012Metric",2.025000,-1.637402,270.000000,bottom
"C18","22uF","C_1206_3216Metric",0.240000,-1.165000,0.000000,bottom
"C19","22uF","C_1206_3216Metric",0.275000,-0.800000,0.000000,bottom
"R2","121R","R_0805_2012Metric",0.825000,-0.500000,0.000000,bottom
"R3","1.00K","R_0805_2012Metric",0.225000,-1.950000,0.000000,bottom
"R4","1.00K","R_0805_2012Metric",0.225000,-1.850000,0.000000,bottom
"R5","1.00K","R_0805_2012Metric",0.225000,-1.750000,0.000000,bottom
"R6","1.00K","R_0805_2012Metric",0.225000,-2.050000,0.000000,bottom
"R7","1.00K","R_0805_2012Metric",0.225000,-2.150000,0.000000,bottom
"R9","121R","R_0805_2012Metric",1.075000,-0.500000,0.000000,bottom
"R19","121R","R_0805_2012Metric",1.325000,-0.500000,0.000000,bottom
"R22","10.0k","R_0805_2012Metric",2.375000,-0.900000,180.000000,bottom
"R23","10.0k","R_0805_2012Metric",2.375000,-0.700000,180.000000,bottom
"R24","10.0k","R_0805_2012Metric",2.375000,-0.500000,180.000000,bottom
"R25","10.0k","R_0805_2012Metric",2.375000,-0.300000,180.000000,bottom
"R28","1.00K","R_0805_2012Metric",2.375000,-1.000000,180.000000,bottom
"R29","1.00K","R_0805_2012Metric",2.375000,-0.800000,180.000000,bottom
"R33","1.00K","R_0805_2012Metric",2.375000,-0.600000,180.000000,bottom
"R34","1.00K","R_0805_2012Metric",2.375000,-0.400000,180.000000,bottom
"R37","100R","R_0805_2012Metric",2.375000,-1.350000,180.000000,bottom
"R38","100R","R_0805_2012Metric",2.375000,-1.150000,180.000000,bottom
"R39","100R","R_0805_2012Metric",2.375000,-1.750000,180.000000,bottom
"R40","100R","R_0805_2012Metric",2.375000,-1.550000,180.000000,bottom
"R41","100R","R_0805_2012Metric",2.375000,-2.150000,180.000000,bottom
"R42","1.00K","R_0805_2012Metric",2.125000,-2.500000,90.000000,bottom
"R43","1.00K","R_0805_2012Metric",1.925000,-2.500000,90.000000,bottom
"R44","1.00K","R_0805_2012Metric",1.725000,-2.500000,90.000000,bottom
"R45","1.00K","R_0805_2012Metric",1.825000,-2.500000,90.000000,bottom
"R46","1.00K","R_0805_2012Metric",2.025000,-2.500000,90.000000,bottom
"R47","1.00K","R_0805_2012Metric",2.225000,-2.500000,90.000000,bottom
"R48","100R","R_0805_2012Metric",2.375000,-1.950000,180.000000,bottom
"R49","1.00K","R_0805_2012Metric",2.325000,-2.500000,90.000000,bottom
"R50","1.00K","R_0805_2012Metric",0.225000,-2.250000,0.000000,bottom
"U4","SC0915-PI-Pico","PICO",0.525000,-0.650000,0.000000,bottom
